courseID,courseYear,title,credit,unit_D,hr_D,sec_D,day_D,start_D,dat1,end_D,room_D,major_D,number_D,unit_P,hr_P,sec_P,day_P,start_P,dat2,end_P,room_P,major_P,number_P,teacher,codeTeacher,subjectBefore,testTime,central_M,decentral_M,central_F,decentral_F,note
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,850,Th,13.00,-,16.00,,T13/3,6,อ.ดร.ศักดิ์ดา ธงชาย,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,851,Th,13.00,-,16.00,,T13/3,6,อ.ดร.กรัณย์ เส็งพานิช,,03604341 หรือ 03604202,,,,,,
03604432,03604432-60,Automotive Powertrains,3(3-0-6),3,3,800,M,16.30,-,19.30,,"T13/3,4",40,,,,,,,,,,,อ.ดร.มานิดา ทองรุน,,-,,,,,,
03604433,03604433-60,Automotive Chassis,3(3-0-6),3,3,800,Th,16.30,-,19.30,,"T13/3,4",80,,,,,,,,,,,รศ.ดร.สถาพร เชื้อเพ็ง,,-,,,,,,
03604442,03604442-60,Power Plant Engineering,3(3-0-6),3,3,800,Tu,9.00,-,12.00,,T13/4,80,,,,,,,,,,,รศ.ดร.สมพล สกุลหลง,,03604341 หรือ 03604202,,,,,,
03604445,03604445-60,Gas Turbines,3(3-0-6),3,3,800,W,16.30,-,19.30,,"T13/3,T13/4",80,,,,,,,,,,,ผศ.ดร.สืบสกุล คุรุรัตน์,,03604341 หรือ 03604202,,,,,,
03604451,03604451-60,Air Conditioning,3(3-0-6),3,3,800,W,9.00,-,12.00,,T13/4,80,,,,,,,,,,,ผศ.ดร.รจนา ประไพนพ,,03604352,,,,,,
03604453,03604453-60,Computational Fluid Dynamics,3(3-0-6),3,3,800,Tu,16.30,-,19.30,Lab Com 1,T13/4,50,,,,,,,,,,,ผศ.ดร.สืบสกุล คุรุรัตน์,,-,,,,,,
03604461,03604461-60,Machine Design II,3(3-2-6),2,2,800,F,13.00,-,15.00,,T13/4,80,1,3,830,F,15.00,-,18.00,,T13/4,80,ผศ.ดร.ประทีป ชัยเสริมเทวัญ,,03604361,,,,,,
03604462,03604462-60,Principles of Fire Safety,3(3-0-6),3,3,800,M,9.00,-,12.00,,"T13/3,T13/4",80,,,,,,,,,,,ผศ.ดร.สุภัทร พัฒน์วิชัยโชติ,,-,,,,,,
03604465,03604465-60,Plumbing System Design,3(3-0-6),3,3,800,M,13.00,-,16.00,150208,"T13/3,T13/4",80,,,,,,,,,,,ผศ.ดร.สุภัทร พัฒน์วิชัยโชติ,,03604242,,,,,,
03604497,03604497-60,Seminar,1,1,3,800,F,9.00,-,12.00,,T13/4,80,,,,,,,,,T13/4,40,Dr.Rodolphe Perrin,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,830,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.ประทีป ชัยเสริมเทวัญ,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,831,,,,,ติดต่อผู้สอน,T13/4,10,ผศ.ดร.สมภพ จรุงธรรมโชติ,,-,,,,,,
03604495,03604495-60,Mechanical and Design Engineering Project Preparation,1(0-3-2),,,,,,,,,,,1,3,832,,,,,ติดต่อผู้สอน,T13/4,10,รศ.ดร.สมพล สกุลหลง,,-,,,,,,
