รหัสวิชา,รหัสวิชา-พ.ศ.หลักสูตร,ชื่อวิชา,บรรยาย,,,,,,,,,,,ปฎิบัติ,,,,,,,,,,อาจารย์,,วิชาพื้นฐาน,จำนวนชั่วโมงที่จัดสอบ,การจัดสอบกลางภาค,,การจัดสอบปลายภาค,,หมายเหตุ
,,,หน่วยกิต,หน่วย,จำนวน ชม.,หมู่,วัน,เริ่ม,-,สิ้นสุด,ห้อง,สาขา,จำนวน,หน่วย,จำนวน ชม.,หมู่,วัน,เริ่ม,-,สิ้นสุด,ห้อง,สาขา,จำนวน,,CODE-อาจารย์-1,,,ส่วนกลางจัดสอบ,จัดสอบเองนอกตาราง,ส่วนกลางจัดสอบ,จัดสอบเองนอกตาราง,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,840,Th,13,-,16,,T17/3,6,ผศ.ดร.ประทีป ชัยเสริมเทวัญ,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,841,Th,13,-,16,,T17/3,6,ผศ.ดร.สมภพ จรุงธรรมโชติ,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,842,Th,13,-,16,,T17/3,6,รศ.ดร.สมพล สกุลหลง,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,843,Th,13,-,16,,T17/3,6,ผศ.ดร.บุญธรรม วงศ์ไชย,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,844,Th,13,-,16,,T17/3,6,อ.ดร.มานิดา ทองรุน,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,845,Th,13,-,16,,T17/3,6,อ.ดร.สืบสกุล คุรุรัตน์,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,846,Th,13,-,16,,T17/3,6,อ.ดร.รัฐพล สาครสินธุ์,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,847,Th,13,-,16,,T17/3,6,Dr.Rodolphe Perrin,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,848,Th,13,-,16,,T17/3,6,อ.ดร.อบ นิลผาย,,03604222 หรือ 03604201,,,,,,
3604382,03604382-55,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,830,Th,9,-,12,,T13(*),6,ผศ.ดร.กิตติพงษ์ เยาวาจา,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,830,Th,9,-,12,,T13/3,6,ผศ.ดร.กิตติพงษ์ เยาวาจา,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,831,Th,9,-,12,,T13/3,6,รศ.ดร.ณัฐพล จันทร์พาณิชย์,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,832,Th,9,-,12,,T13/3,6,อ.ดร.สุจินต์ วันชาติ,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,833,Th,9,-,12,,T13/3,6,ผศ.ดร.รจนา ประไพนพ,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,834,Th,9,-,12,,T13/3,6,ผศ.ดร.สุภัทร พัฒน์วิชัยโชติ,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,835,Th,9,-,12,,T13/3,6,รศ.ดร.ปรณัฐ วิสุวรรณ,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,836,Th,9,-,12,,T13/3,6,อ.พุฒิพงษ์ ขุนทรง,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,837,Th,9,-,12,,T13/3,6,รศ.ดร.สถาพร เชื้อเพ็ง,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,838,Th,9,-,12,,T13/3,6,อ.ดร.พงศกร บำรุงไทย,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,839,Th,9,-,12,,T13/3,6,อ.ดร.ศักดิ์ดา ธงชาย,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,840,Th,9,-,12,,T13/3,6,อ.ดร.กรัณย์ เส็งพานิช,,03604341 หรือ 03604202,,,,,,
3604382,03604382-55,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,841,Th,13,-,16,,T13(*),6,ผศ.ดร.กิตติพงษ์ เยาวาจา,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,841,Th,13,-,16,,T13/3,6,ผศ.ดร.กิตติพงษ์ เยาวาจา,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,842,Th,13,-,16,,T13/3,6,รศ.ดร.ณัฐพล จันทร์พาณิชย์,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,843,Th,13,-,16,,T13/3,6,อ.ดร.สุจินต์ วันชาติ,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,844,Th,13,-,16,,T13/3,6,ผศ.ดร.รจนา ประไพนพ,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,845,Th,13,-,16,,T13/3,6,ผศ.ดร.สุภัทร พัฒน์วิชัยโชติ,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,846,Th,13,-,16,,T13/3,6,รศ.ดร.ปรณัฐ วิสุวรรณ,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,847,Th,13,-,16,,T13/3,6,อ.พุฒิพงษ์ ขุนทรง,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,848,Th,13,-,16,,T13/3,6,รศ.ดร.สถาพร เชื้อเพ็ง,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,849,Th,13,-,16,,T13/3,6,อ.ดร.พงศกร บำรุงไทย,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,850,Th,13,-,16,,T13/3,6,อ.ดร.ศักดิ์ดา ธงชาย,,03604341 หรือ 03604202,,,,,,
3604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,851,Th,13,-,16,,T13/3,6,อ.ดร.กรัณย์ เส็งพานิช,,03604341 หรือ 03604202,,,,,,
3604432,03604432-60,Automotive Powertrains,3(3-0-6),3,3,800,M,16.3,-,19.3,,"T13/3,4",40,,,,,,,,,,,อ.ดร.มานิดา ทองรุน,,-,,,,,,
3604433,03604433-60,Automotive Chassis,3(3-0-6),3,3,800,Th,16.3,-,19.3,,"T13/3,4",80,,,,,,,,,,,รศ.ดร.สถาพร เชื้อเพ็ง,,-,,,,,,
3604442,03604442-60,Power Plant Engineering,3(3-0-6),3,3,800,Tu,9,-,12,,T13/4,80,,,,,,,,,,,รศ.ดร.สมพล สกุลหลง,,03604341 หรือ 03604202,,,,,,
