courseID,courseYear,title,credit,unit_D,hr_D,sec_D,day_D,start_D,dat1,end_D,room_D,major_D,number_D,unit_P,hr_P,sec_P,day_P,start_P,dat2,end_P,room_P,major_P,number_P,teacher,codeTeacher,subjectBefore,testTime,central_M,decentral_M,central_F,decentral_F,note
03603211,03603211-60,Discrete Mathematics,3(3-0-6),3,3,800,Th,13.00,-,16.00,,T12/2-6,120,,,,,,,,,,,อ.ดร.อดิศักดิ์ สุภีสุน,,-,,,,,,
03603212,03603212-60,Abstract Data Types and Problem Solving,3(3-0-6),3,3,800,M,9.00,-,12.00,Online,T12/2-6,120,,,,,,,,,,,ผศ.เพ็ญพรรณ ใช้ฮวดเจริญ,,03603111,,,,,,
03603214,03603214-60,Programming Skills Development Laboratory,1(0-3-2),,,,,,,,,,,1,3,830,M,16.30,-,19.30,Lab Com 1,T12/2,55,อ.กรวิทย์ ออกผล,,-,,,,,,
03603214,03603214-60,Programming Skills Development Laboratory,1(0-3-2),,,,,,,,,,,1,3,831,Tu,16.30,-,19.30,Lab Com 2,T12/2,55,อ.ไพรัช สร้อยทอง,,-,,,,,,
03603214,03603214-60,Programming Skills Development Laboratory,1(0-3-2),,,,,,,,,,,1,3,832,Th,16.30,-,19.30,Lab Com 1,T12/3,55,อ.ดร.อดิศักดิ์ สุภีสุน,,-,,,,,,
03603221,03603221-60,Digital Systems Design,3(3-0-6),3,3,800,Tu,9.00,-,12.00,,T12/2-6,120,,,,,,,,,,,รศ.ดร.อนันต์ บรรหารสกุล,,-,,,,,,
03603222,03603222-60,Logic Circuit Laboratory,1(0-3-2),,,,,,,,,,,1,3,830,F,16.30,-,19.30,Lab Logic,T12/2,35,อ.ณัฎฐ์ อรุณ,,-,,,,,,
03603222,03603222-60,Logic Circuit Laboratory,1(0-3-2),,,,,,,,,,,1,3,831,F,9.00,-,12.00,Lab Logic,T12/2,35,อ.ณัฎฐ์ อรุณ,,-,,,,,,
03603222,03603222-60,Logic Circuit Laboratory,1(0-3-2),,,,,,,,,,,1,3,832,F,13.00,-,16.00,Lab Logic,T12/2,35,อ.จิรวัฒน์ จิตประสูตวิทย์,,-,,,,,,
03603312,03603312-60,Probability and Statistics for Informatics,3(3-0-6),3,3,800,Th,9.00,-,12.00,,T12/3,110,,,,,,,,,,,อ.ดร.ฐนียา สัตยพานิช,,01417168,,,,,,
03603323,03603323-60,Introduction to Embedded Systems,3(3-0-6),3,3,800,M,9.00,-,12.00,Lab Logic,T12/3,80,,,,,,,,,,,อ.จิรวัฒน์ จิตประสูตวิทย์,,03603223,,,,,,
03603324,03603324-60,Embedded Systems Laboratory,1(0-3-2),,,,,,,,,,,1,3,830,M,13.00,-,16.00,Lab Logic,T12/3,30,อ.จิรวัฒน์ จิตประสูตวิทย์,,03603323 หรือพร้อมกัน,,,,,,
03603324,03603324-60,Embedded Systems Laboratory,1(0-3-2),,,,,,,,,,,1,3,831,Tu,9.00,-,12.00,Lab Logic,T12/3,30,อ.จิรวัฒน์ จิตประสูตวิทย์,,03603323 หรือพร้อมกัน,,,,,,
03603324,03603324-60,Embedded Systems Laboratory,1(0-3-2),,,,,,,,,,,1,3,832,Tu,13.00,-,16.00,Lab Logic,T12/3,30,อ.จิรวัฒน์ จิตประสูตวิทย์,,03603323 หรือพร้อมกัน,,,,,,
03603332,03603332-60,Operating Systems,3(3-0-6),3,3,800,F,16.30,-,19.30,,T12/3,100,,,,,,,,,,,ผศ.ดร.ประวิทย์ ชุมชู,,03603223,,,,,,
