courseID,courseYear,title,credit,unit_D,hr_D,sec_D,day_D,start_D,dat1,end_D,room_D,major_D,number_D,unit_P,hr_P,sec_P,day_P,start_P,dat2,end_P,room_P,major_P,number_P,teacher,codeTeacher,subjectBefore,testTime,central_M,decentral_M,central_F,decentral_F,note
03601363,03601363-60,Control and Measurement Laboratory,1(0-3-2),,,,,,,,,,,1,3,830,Tu,9.00,-,12.00,Lab EE,T14/4,15,ดร. วสันต์ ตันเจริญ,,03601361 และ 03601362 หรือพร้อมกัน,,,,,,,
03601363,03601363-60,Control and Measurement Laboratory,1(0-3-2),,,,,,,,,,,1,3,831,W,9.00,-,12.00,Lab EE,T14/4,15,ดร. วสันต์ ตันเจริญ,,03601361 และ 03601362 หรือพร้อมกัน,,,,,,,
03601364,03601364-60,Industrial Automation Systems,3(3-0-6),3,3,800,M,9.00,-,12.00,,"T14/3,4",45,,,,,,,,,,,รศ.ดร.ไพโรจน์ ทองประศรี,,-,,,,,,,
03601371,03601371-60,Internship Preparation,1(0-3-2),,,,,,,,,,,1,3,830,Tu,13.00,-,16.00,,T14/3,25,ผศ.ดร. อุมารินทร์ แสงพานิช,,-,,,,,,,
03601371,03601371-60,Internship Preparation,1(0-3-2),,,,,,,,,,,1,3,831,Tu,13.00,-,16.00,,T14/3,25,ผศ.ดร.ธเนศ วงศ์หงษ์,,-,,,,,,,
03601371,03601371-60,Internship Preparation,1(0-3-2),,,,,,,,,,,1,3,832,Tu,13.00,-,16.00,,T14/3,25,อ.ทรงชัย จิตภักดีบดินทร์,,-,,,,,,,
03601371,03601371-60,Internship Preparation,1(0-3-2),,,,,,,,,,,1,3,833,Tu,13.00,-,16.00,,T14/3,25,รศ.ดร. ปรีชานนท์ คุ้มกระทึก,,-,,,,,,,
03601433,03601433-60,Industrial Electronics,3(3-0-6),3,3,800,W,9.00,-,12.00,,"T14/3,4",45,,,,,,,,,,,รศ.ดร.ไพโรจน์ ทองประศรี,,03601231 หรือพร้อมกัน,,,,,,,
03601451,03601451-60,Basic Power System Reliability,3(3-0-6),3,3,800,Th,16.30,-,19.30,,"T14/3,4",30,,,,,,,,,,,ผศ. ดร. ศิริชัย วัฒนาโสภณ,,-,,,,,,,
03601452,03601452-60,Electric Power Plants,3(3-0-6),3,3,800,M,9.00,-,12.00,,T14/4,40,,,,,,,,,,,รศ. ดร. ปรีชานนท์ คุ้มกระทึก,,03601251,,,,,,,
03601453,03601453-60,Electric Power System Analysis II,3(3-0-6),3,3,800,F,9.00,-,12.00,,T14/4,70,,,,,,,,,,,ผศ. ดร. นาตยา คล้ายเรือง,,03601354,,,,,,,
03601456,03601456-60,Power System Protection,3(3-0-6),3,3,800,Th,9.00,-,12.00,,T14/4,40,,,,,,,,,,,ผศ. ดร. ศิริชัย วัฒนาโสภณ,,03601354,,,,,,,
03601461,03601461-60,Process Control,3(3-0-6),3,3,800,M,13.00,-,16.00,,T14/4,30,,,,,,,,,,,อ.ดร.ธเนศ วงศ์หงษ์,,03601361 และ 03601362,,,,,,,
03601462,03601462-60,Industrial Sensors,3(3-0-6),3,3,800,F,9.00,-,12.00,,T14/4,40,,,,,,,,,,,อ.ดร.วสันต์ ตันเจริญ,,03601231 ,,,,,,,
03601463,03601463-60,Computer Control of Machines and Processes,3(3-0-6),3,3,800,Tu,9.00,-,12.00,,"T14/3,4",30,,,,,,,,,,,ผศ. ดร. สาริณี อุ่ยตระกูล,,-,,,,,,,
03601466,03601466-60,Introduction to Robotic Systems,3(3-0-6),3,3,800,F,13.00,-,16.00,,"T14/3,4",30,,,,,,,,,,,ผศ. ดร. สาริณี อุ่ยตระกูล,,-,,,,,,,
03601474,03601474-60,Power Electronics Laboratory,1(0-3-2),,,,,,,,,,,1,3,830,W,13.00,-,16.00,Lab EE,T14/4,15,รศ.ดร.ไพโรจน์ ทองประศรี,,03601473,,,,,,,
03601474,03601474-60,Power Electronics Laboratory,1(0-3-2),,,,,,,,,,,1,3,831,Th,9.00,-,12.00,Lab EE,T14/4,15,รศ.ดร.ไพโรจน์ ทองประศรี,,03601473,,,,,,,
03601477,03601477-60,Renewable Energy,3(3-0-6),3,3,800,W,9.00,-,12.00,,"T14/3,4",40,,,,,,,,,,,ผศ.ดร. อุมารินทร์ แสงพานิช,,-,,,,,,,
03601479,03601479-60,Electric Vehicle Systems,3(3-0-6),3,3,800,M,13.00,-,16.00,,T14/4,30,,,,,,,,,,,ผศ.ดร.อุเทน สุปัตติ,,-,,,,,,,
03601496,03601496-60,Selected Topics in Electrical and Electronics Engineering (Digital Signal Processing in Advanced Topics and Applications),3(3-0-6),3,3,800,F,16.30,-,19.30,,T14/4,20,,,,,,,,,,,ผศ. ดร. สุภัทรชัย ชมพันธุ์,,-,,,,,,,
03601497,03601497-60,Seminar,1,1,3,800,M,16.30,-,19.30,,T14/4,100,,,,,,,,,,,ผศ.ดร.อุมารินทร์ แสงพานิช,,-,,,,,,,
03601495,03601495-60,Electrical and Electronics Engineering Project I,1(0-3-2),,,,,,,,,,,1,3,830,Sat,13.00,-,16.00,,"T14/4,5",12,ผศ.ดร.สุภัทรชัย ชมพันธุ์,,-,,,,,,,
03601495,03601495-60,Electrical and Electronics Engineering Project I,1(0-3-2),,,,,,,,,,,1,3,831,Sat,13.00,-,16.00,,T14/4,2,รศ.ดร.ไพโรจน์ ทองประศรี,,-,,,,,,,
03601495,03601495-60,Electrical and Electronics Engineering Project I,1(0-3-2),,,,,,,,,,,1,3,832,Sat,13.00,-,16.00,,T14/4,6,ผศ.ดร.นาตยา คล้ายเรือง,,-,,,,,,,
03601495,03601495-60,Electrical and Electronics Engineering Project I,1(0-3-2),,,,,,,,,,,1,3,833,Sat,13.00,-,16.00,,T14/4,11,ผศ.ดร.ศิริชัย วัฒนาโสภณ,,-,,,,,,,
03601495,03601495-60,Electrical and Electronics Engineering Project I,1(0-3-2),,,,,,,,,,,1,3,834,Sat,13.00,-,16.00,,T14/4,23,ผศ.ดร.สาริณี อุ่ยตระกูล,,-,,,,,,,
03601495,03601495-60,Electrical and Electronics Engineering Project I,1(0-3-2),,,,,,,,,,,1,3,835,Sat,13.00,-,16.00,,T14/4,9,ผศ.ดร.อุมารินทร์ แสงพานิช,,-,,,,,,,
03601495,03601495-60,Electrical and Electronics Engineering Project I,1(0-3-2),,,,,,,,,,,1,3,836,Sat,13.00,-,16.00,,T14/4,9,อ.ดร.วสันต์ ตันเจริญ,,-,,,,,,,
03601495,03601495-60,Electrical and Electronics Engineering Project I,1(0-3-2),,,,,,,,,,,1,3,837,Sat,13.00,-,16.00,,T14/4,2,อ.ดร.ชัยฤกษ์ จักรพัฒนจิต,,-,,,,,,,
03601495,03601495-60,Electrical and Electronics Engineering Project I,1(0-3-2),,,,,,,,,,,1,3,838,Sat,13.00,-,16.00,,T14/4,5,อ.ทรงชัย จิตภักดีบดินทร์,,-,,,,,,,
03601495,03601495-60,Electrical and Electronics Engineering Project I,1(0-3-2),,,,,,,,,,,1,3,839,Sat,13.00,-,16.00,,T14/4,3,อ.ดร.ณัฐพล บุณยภักดี,,-,,,,,,,
03601499,03601499-60,Electrical Engineering and Electronics Project II,2(0-6-3),,,,,,,,,,,2,3,830,Sun,9.00,-,16.00,,T14/4,5,รศ.ดร.ไพโรจน์ ทองประศรี,,03601495,,,,,,,
03601499,03601499-60,Electrical Engineering and Electronics Project II,2(0-6-3),,,,,,,,,,,2,3,831,Sun,9.00,-,16.00,,T14/4,8,ผศ.ดร. ศิริชัย วัฒนาโสภณ,,03601495,,,,,,,
03601499,03601499-60,Electrical Engineering and Electronics Project II,2(0-6-3),,,,,,,,,,,2,3,832,Sun,9.00,-,16.00,,T14/4,3,ผศ.ดร. สาริณี อุ่ยตระกูล,,03601495,,,,,,,
